# session 581004 k 512 groups 16 chunks 2048 rate 55 passes 1 maxbytes 32000
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.006,1.494,1,20456,0
1,18.182,18.832,1,20456,16
2,36.364,36.847,1,20456,32
3,54.546,55.057,1,20456,48
4,72.727,73.091,1,20456,64
5,90.909,91.244,1,20456,80
6,109.091,109.409,1,20456,96
7,127.273,127.632,1,20456,112
8,145.455,145.767,1,20456,128
9,163.636,163.944,1,20456,144
10,181.818,182.183,1,20456,160
11,200.000,200.406,1,20456,176
12,218.182,218.592,1,20456,192
13,236.364,236.595,1,20456,208
14,254.546,254.756,1,20456,224
15,272.727,272.941,1,20456,240
16,290.909,291.136,1,20456,256
17,309.091,309.311,1,20456,272
18,327.273,327.513,1,20456,288
19,345.455,345.768,1,20456,304
20,363.637,363.936,1,20456,320
21,381.818,382.106,1,20456,336
22,400.000,400.264,1,20456,352
23,418.182,418.437,1,20456,368
24,436.364,436.711,1,20456,384
25,454.546,454.844,1,20456,400
26,472.727,472.951,1,20456,416
27,490.909,491.237,1,20456,432
28,509.091,509.355,1,20456,448
29,527.273,527.488,1,20456,464
30,545.455,545.680,1,20456,480
31,563.637,564.007,1,20456,496
32,581.818,582.033,1,20456,512
33,600.000,600.220,1,20456,528
34,618.182,618.548,1,20456,544
35,636.364,636.764,1,20456,560
36,654.546,654.774,1,20456,576
37,672.727,673.019,1,20456,592
38,690.909,691.297,1,20456,608
39,709.091,709.549,1,20456,624
40,727.273,727.531,1,20456,640
41,745.455,745.688,1,20456,656
42,763.637,763.862,1,20456,672
43,781.818,782.034,1,20456,688
44,800.000,800.183,1,20456,704
45,818.182,818.352,1,20456,720
46,836.364,836.548,1,20456,736
47,854.546,854.730,1,20456,752
48,872.727,872.916,1,20456,768
49,890.909,891.123,1,20456,784
50,909.091,909.423,1,20456,800
51,927.273,927.731,1,20456,816
52,945.506,945.745,1,20456,832
53,963.637,963.802,1,20456,848
54,981.818,981.979,1,20456,864
55,1000.000,1000.161,1,20456,880
56,1018.182,1018.348,1,20456,896
57,1036.364,1036.527,1,20456,912
58,1054.546,1054.766,1,20456,928
59,1072.727,1072.909,1,20456,944
60,1090.909,1091.115,1,20456,960
61,1109.091,1109.298,1,20456,976
62,1127.273,1127.507,1,20456,992
63,1145.455,1145.659,1,20456,1008
64,1163.637,1163.843,1,20456,1024
65,1181.818,1182.100,1,20456,1040
66,1200.000,1200.197,1,20456,1056
67,1218.182,1218.360,1,20456,1072
68,1236.364,1236.552,1,20456,1088
69,1254.546,1254.718,1,20456,1104
70,1272.727,1273.038,1,20456,1120
71,1290.909,1291.234,1,20456,1136
72,1309.091,1309.256,1,20456,1152
73,1327.273,1327.574,1,20456,1168
74,1345.455,1345.722,1,20456,1184
75,1363.637,1363.807,1,20456,1200
76,1381.819,1382.015,1,20456,1216
77,1400.000,1400.182,1,20456,1232
78,1418.182,1418.332,1,20456,1248
79,1436.364,1436.514,1,20456,1264
80,1454.546,1454.709,1,20456,1280
81,1472.728,1472.904,1,20456,1296
82,1490.909,1491.121,1,20456,1312
83,1509.091,1509.256,1,20456,1328
84,1527.273,1527.454,1,20456,1344
85,1545.455,1545.674,1,20456,1360
86,1563.637,1563.811,1,20456,1376
87,1581.818,1582.006,1,20456,1392
88,1600.001,1600.211,1,20456,1408
89,1618.182,1618.334,1,20456,1424
90,1637.075,1637.333,1,20456,1440
91,1654.546,1654.718,1,20456,1456
92,1672.728,1672.889,1,20456,1472
93,1690.909,1691.081,1,20456,1488
94,1709.091,1709.284,1,20456,1504
95,1727.273,1727.449,1,20456,1520
96,1745.455,1745.661,1,20456,1536
97,1763.637,1763.959,1,20456,1552
98,1781.819,1782.100,1,20456,1568
99,1800.106,1800.302,1,20456,1584
100,1818.182,1818.390,1,20456,1600
101,1836.364,1836.555,1,20456,1616
102,1854.546,1854.713,1,20456,1632
103,1872.727,1873.162,1,20456,1648
104,1890.909,1891.122,1,20456,1664
105,1909.091,1909.295,1,20456,1680
106,1927.273,1927.542,1,20456,1696
107,1945.455,1945.725,1,20456,1712
108,1963.637,1963.813,1,20456,1728
109,1981.818,1982.009,1,20456,1744
110,2000.001,2000.189,1,20456,1760
111,2018.182,2018.366,1,20456,1776
112,2036.364,2036.546,1,20456,1792
113,2054.546,2054.909,1,20456,1808
114,2072.727,2072.894,1,20456,1824
115,2090.909,2091.070,1,20456,1840
116,2109.091,2109.366,1,20456,1856
117,2127.273,2127.449,1,20456,1872
118,2145.455,2145.702,1,20456,1888
119,2163.637,2163.894,1,20456,1904
120,2181.818,2182.182,1,20456,1920
121,2200.000,2200.210,1,20456,1936
122,2218.182,2218.398,1,20456,1952
123,2236.364,2236.555,1,20456,1968
124,2254.546,2254.752,1,20456,1984
125,2272.728,2272.909,1,20456,2000
126,2290.909,2291.145,1,20456,2016
127,2309.092,2309.264,1,20456,2032
